"Labor Force Participation Rate, Employment Rate, Unemployment Rate and Underemployment Rate, Philippines: January 2005 to January 2025"

"Year","Monthly/Quarterly","Labor Force Participation Rate","Employment Rate","Unemployment Rate","Underemployment Rate","Visible Underemployment Rate"
"2007","January",64.80,92.17,7.83,21.50,12.88
"2007","February",..,..,..,..,..
"2007","March",..,..,..,..,..
"2007","April",64.50,92.60,7.40,18.92,13.02
"2007","May",..,..,..,..,..
"2007","June",..,..,..,..,..
"2007","July",63.60,92.19,7.81,21.99,11.42
"2007","August",..,..,..,..,..
"2007","September",..,..,..,..,..
"2007","October",63.20,93.75,6.25,18.14,10.87
"2007","November",..,..,..,..,..
"2007","December",..,..,..,..,..
"2007","Annual",64.03,92.68,7.32,20.14,12.05
"2006","January",63.60,91.86,8.14,21.15,13.30
"2006","February",..,..,..,..,..
"2006","March",..,..,..,..,..
"2006","April",64.80,91.77,8.23,25.41,15.46
"2006","May",..,..,..,..,..
"2006","June",..,..,..,..,..
"2006","July",64.60,91.86,8.14,23.44,13.73
"2006","August",..,..,..,..,..
"2006","September",..,..,..,..,..
"2006","October",63.80,92.61,7.39,20.32,13.05
"2006","November",..,..,..,..,..
"2006","December",..,..,..,..,..
"2006","Annual",64.20,92.02,7.98,22.58,13.88
"2005","January",66.00,88.60,11.40,16.00,9.80
"2005","February",..,..,..,..,..
"2005","March",..,..,..,..,..
"2005","April",65.37,91.72,8.28,25.76,13.97
"2005","May",..,..,..,..,..
"2005","June",..,..,..,..,..
"2005","July",65.09,92.30,7.70,20.17,12.80
"2005","August",..,..,..,..,..
"2005","September",..,..,..,..,..
"2005","October",65.29,92.62,7.38,20.90,12.76
"2005","November",..,..,..,..,..
"2005","December",..,..,..,..,..
"2005","Annual",65.25,92.21,7.79,22.28,13.18
