"Average Daily Basic Pay of Wage and Salary Workers by Major Industry Group, Philippines: 2016 to October 2024"

"Major Industry Group","2016 January","2016 April","2016 July","2016 October","2017 January","2017 April","2017 July","2017 October","2018 January","2018 April","2018 July","2018 October","2019 January","2019 April","2019 July","2019 October","2020 January","2020 April","2020 July","2020 October","2021 January","2021 April","2021 July","2021 October","2022 January","2022 April","2022 July","2022 October","2023 January","2023 April","2023 July","2023 October","2024 January","2024 April","2024 July","2024 October"
"….Information and Communication",679.86,635.66,656.36,677.03,688.77,619.99,711.37,751.44,711.38,671.36,692.66,763.66,758.21,807.68,782.06,818.61,913.86,825.38,769.23,723.32,803.91,893.68,797.28,865.62,831.90,805.40,1257.04,884.82,988.88,971.94,931.20,959.20,985.60,1118.79,1120.94,1031.79
"….Financial and Insurance Activities",655.64,754.06,676.52,631.63,659.53,579.04,637.28,645.34,651.02,686.94,739.55,647.45,698.24,687.82,729.01,759.92,703.86,776.57,684.39,704.77,757.75,720.82,758.30,745.48,772.18,772.90,771.57,781.03,791.78,809.84,826.75,805.89,836.00,816.29,787.17,829.46
"….Real Estate Activities",622.76,716.40,867.64,727.60,586.70,549.56,564.71,634.08,524.37,777.15,817.47,638.44,648.80,669.05,691.52,861.70,562.44,582.35,607.62,568.09,645.45,665.37,684.41,651.83,639.79,707.34,703.09,697.73,801.54,723.93,773.41,880.94,878.49,1038.07,788.55,717.42
"….Professional Scientific  and Technical Activities",802.97,694.85,668.59,673.86,682.59,714.46,764.12,775.52,690.89,788.28,735.28,882.44,766.06,797.02,812.97,1054.94,958.82,791.02,861.49,865.17,903.93,831.05,851.30,904.46,847.92,887.13,885.67,986.40,960.78,941.37,923.05,958.64,1006.88,1020.22,1005.15,1078.56
"….Administrative and Support Service Activities",582.37,581.44,589.17,578.93,567.40,549.69,537.46,565.70,587.16,578.33,609.33,620.56,630.58,639.14,639.12,667.11,649.15,653.50,656.66,618.57,637.51,649.35,657.41,674.28,676.24,688.57,707.55,700.86,744.77,756.52,717.56,790.84,768.53,810.22,771.48,804.66
"….Public Administration and Defense; Compulsory Social Security",601.37,616.50,606.22,615.41,639.61,633.63,595.91,615.63,661.41,636.82,697.48,671.33,704.66,733.85,752.57,752.16,808.12,761.77,821.96,753.44,748.98,763.89,686.14,760.99,740.95,729.67,787.30,779.84,794.72,799.67,761.98,804.49,771.78,850.46,819.97,842.30
"….Education",766.85,798.94,802.24,766.14,801.00,779.88,749.16,781.98,787.82,784.39,805.69,831.52,836.50,868.66,809.54,862.76,854.76,922.02,939.20,890.92,904.59,922.62,904.02,950.03,970.56,982.20,991.96,1003.79,1023.34,1029.10,1002.66,1054.55,1015.69,1088.16,1016.65,1064.49
"….Human Health and Social Work Activities",574.01,600.66,581.93,631.88,653.27,578.44,639.04,575.63,602.27,595.63,628.84,631.78,690.53,698.67,698.38,758.92,711.94,710.82,698.48,709.41,780.99,725.12,722.85,767.64,792.95,812.77,771.36,813.94,885.11,812.83,812.88,855.47,875.42,933.54,914.40,937.41
"….Arts Entertainment and Recreation",437.09,411.19,474.78,515.22,496.69,455.25,431.19,462.62,468.70,401.11,427.11,462.87,488.82,523.86,479.65,510.02,537.26,520.72,516.11,532.25,567.17,427.59,469.97,501.39,520.72,512.72,581.80,549.03,581.39,545.84,576.09,488.01,619.28,689.74,597.21,532.46
"….Other Service Activities",197.83,207.48,201.10,209.82,219.81,214.24,222.83,225.80,220.81,239.01,247.19,246.51,274.98,277.54,261.44,257.67,277.37,280.38,277.29,278.94,283.28,290.64,325.74,295.69,304.62,304.81,311.11,295.21,324.21,323.15,350.59,338.07,364.64,351.17,370.16,357.23
"….Activities of Extraterritorial Organizations and Bodies",967.86,807.75,702.92,738.40,696.22,1703.14,1231.74,803.79,861.58,531.95,1589.13,639.51,..,800.49,1686.25,1512.45,1014.08,699.95,767.85,366.36,757.50,599.12,988.27,1279.06,721.71,1411.78,853.30,703.55,527.06,1552.46,762.73,1195.42,1286.16,883.97,1571.03,749.72
